0	0.0770444	0.0770444	4.35087e-12	5.16595e-29	6.62003e-35
100	0.0770444	0.0770444	4.43407e-08	2.43389e-17	1.32767e-26
200	0.0770444	0.0770444	1.75113e-07	1.5053e-15	1.28645e-23
300	0.0770444	0.0770444	3.90852e-07	1.68536e-14	7.23046e-22
400	0.0770444	0.0770444	6.89137e-07	9.32721e-14	1.25735e-20
500	0.0770444	0.0770444	1.06664e-06	3.50143e-13	1.14639e-19
600	0.0770444	0.0770443	1.51915e-06	1.02692e-12	6.93531e-19
700	0.0770444	0.0770443	2.04169e-06	2.53745e-12	3.15709e-18
800	0.0770444	0.0770443	2.62853e-06	5.52602e-12	1.16581e-17
900	0.0770444	0.0770442	3.2733e-06	1.09198e-11	3.66565e-17
1000	0.0770444	0.0770442	3.9691e-06	1.99724e-11	1.01446e-16
1100	0.0770444	0.0770441	4.70857e-06	3.42938e-11	2.53011e-16
1200	0.0770444	0.077044	5.48401e-06	5.58613e-11	5.78677e-16
1300	0.0770444	0.0770439	6.28751e-06	8.70091e-11	1.22991e-15
1400	0.0770444	0.0770437	7.11103e-06	1.30393e-10	2.45422e-15
1500	0.0770444	0.0770435	7.94653e-06	1.88929e-10	4.63546e-15
1600	0.0770444	0.0770433	8.7861e-06	2.65708e-10	8.34175e-15
1700	0.0770444	0.077043	9.62203e-06	3.63886e-10	1.4379e-14
1800	0.0770444	0.0770427	1.04469e-05	4.86555e-10	2.38466e-14
1900	0.0770444	0.0770423	1.12539e-05	6.36597e-10	3.81905e-14
2000	0.0770444	0.0770419	1.20364e-05	8.16537e-10	5.92469e-14
2100	0.0770444	0.0770415	1.27887e-05	1.02838e-09	8.92698e-14
2200	0.0770444	0.077041	1.35056e-05	1.27348e-09	1.30935e-13
2300	0.0770444	0.0770405	1.41825e-05	1.55237e-09	1.87312e-13
2400	0.0770444	0.0770399	1.48158e-05	1.8647e-09	2.61797e-13
2500	0.0770444	0.0770393	1.54025e-05	2.20912e-09	3.58008e-13
2600	0.0770444	0.0770387	1.59404e-05	2.58326e-09	4.79628e-13
2700	0.0770444	0.0770381	1.64284e-05	2.98369e-09	6.30217e-13
2800	0.0770444	0.0770374	1.68657e-05	3.406e-09	8.12975e-13
2900	0.0770444	0.0770367	1.72527e-05	3.84486e-09	1.03049e-12
3000	0.0770444	0.0770359	1.75902e-05	4.29416e-09	1.28448e-12
3100	0.0770444	0.0770352	1.788e-05	4.74718e-09	1.57552e-12
3200	0.0770444	0.0770344	1.81242e-05	5.1968e-09	1.90281e-12
3300	0.0770444	0.0770337	1.83256e-05	5.63576e-09	2.26402e-12
3400	0.0770444	0.0770329	1.84876e-05	6.05687e-09	2.65514e-12
3500	0.0770444	0.0770322	1.86136e-05	6.45332e-09	3.07051e-12
3600	0.0770444	0.0770315	1.87075e-05	6.81893e-09	3.50285e-12
3700	0.0770444	0.0770308	1.87736e-05	7.14841e-09	3.94351e-12
3800	0.0770444	0.0770301	1.88159e-05	7.43759e-09	4.38275e-12
3900	0.0770444	0.0770295	1.88386e-05	7.68358e-09	4.81017e-12
4000	0.0770444	0.0770289	1.88458e-05	7.88495e-09	5.21521e-12
4100	0.0770444	0.0770283	1.88414e-05	8.04179e-09	5.58772e-12
4200	0.0770444	0.0770278	1.88288e-05	8.15575e-09	5.91854e-12
4300	0.0770444	0.0770274	1.88115e-05	8.22997e-09	6.20008e-12
4400	0.0770444	0.077027	1.87921e-05	8.26899e-09	6.42682e-12
4500	0.0770444	0.0770266	1.8773e-05	8.27857e-09	6.59574e-12
4600	0.0770444	0.0770263	1.87559e-05	8.26544e-09	6.70657e-12
4700	0.0770444	0.0770261	1.87421e-05	8.23702e-09	6.7619e-12
4800	0.0770444	0.0770259	1.87322e-05	8.20108e-09	6.76706e-12
4900	0.0770444	0.0770258	1.87262e-05	8.16541e-09	6.72978e-12
5000	0.0770444	0.0770257	1.87235e-05	8.13743e-09	6.65975e-12
5100	0.0770444	0.0770256	1.87229e-05	8.12384e-09	6.56788e-12
5200	0.0770444	0.0770257	1.87227e-05	8.13026e-09	6.46552e-12
5300	0.0770444	0.0770257	1.87208e-05	8.16097e-09	6.36355e-12
5400	0.0770444	0.0770258	1.87143e-05	8.21864e-09	6.2715e-12
5500	0.0770444	0.0770259	1.87003e-05	8.30416e-09	6.19676e-12
5600	0.0770444	0.0770261	1.86755e-05	8.41655e-09	6.14384e-12
5700	0.0770444	0.0770262	1.86364e-05	8.55297e-09	6.11397e-12
5800	0.0770444	0.0770264	1.85791e-05	8.7088e-09	6.10486e-12
5900	0.0770444	0.0770266	1.85002e-05	8.87786e-09	6.11087e-12
6000	0.0770444	0.0770267	1.83961e-05	9.05264e-09	6.12347e-12
6100	0.0770444	0.0770269	1.82633e-05	9.22471e-09	6.13199e-12
6200	0.0770444	0.077027	1.80989e-05	9.38515e-09	6.12478e-12
6300	0.0770444	0.0770272	1.79003e-05	9.52501e-09	6.09045e-12
6400	0.0770444	0.0770273	1.76653e-05	9.63585e-09	6.01937e-12
6500	0.0770444	0.0770273	1.73924e-05	9.71031e-09	5.90509e-12
6600	0.0770444	0.0770274	1.70809e-05	9.74255e-09	5.74574e-12
6700	0.0770444	0.0770273	1.67306e-05	9.72882e-09	5.54514e-12
6800	0.0770444	0.0770273	1.63426e-05	9.66781e-09	5.31353e-12
6900	0.0770444	0.0770272	1.59183e-05	9.56102e-09	5.06793e-12
7000	0.0770444	0.077027	1.54606e-05	9.41299e-09	4.83179e-12
7100	0.0770444	0.0770268	1.49729e-05	9.23135e-09	4.63421e-12
